prime,cutoff,prefix_mean_exact,sample_prefix_standard_deviation_exact
173,1000,4.5021375223915792,0.15717506233409337
173,2000,4.5007468556539365,0.11668525765495703
173,4000,4.5001354928433699,0.086294360317942395
173,8000,4.5000286419969804,0.06358302135596669
179,50,4.5754746512442797,0.63983331608305849
179,250,4.5390643344826964,0.33168587991206827
179,500,4.5126016419272608,0.24576435871817803
179,1000,4.5069839400686078,0.18013808656041691
179,2000,4.5028005599572163,0.13250042623046243
179,4000,4.5012156353439057,0.09700499422424759
179,8000,4.5005019135812541,0.070881152018792595
181,50,4.26948859417009,0.51498085990513232
181,250,4.4400026447953271,0.27875857014630145
181,500,4.4670498435545856,0.21152968266576078
181,1000,4.4845436605489448,0.15867464221799854
181,2000,4.4905614504493832,0.117610793655983
181,4000,4.4951281194363091,0.086810942173100189
181,8000,4.497555759680278,0.063922997562838937
191,50,4.3803635227658448,0.44627750808908201
191,250,4.4598619061125238,0.25051213786271559
191,500,4.4853632996819179,0.19507938708789607
191,1000,4.4910206827023629,0.14676573533151682
191,2000,4.4962506376826106,0.10973500444737809
191,4000,4.497576215041172,0.081502763028523995
191,8000,4.4987293300617148,0.06027061808712228
193,50,4.4985891294034781,0.38585269756370105
193,250,4.4846841623015763,0.23124390482418908
193,500,4.4876276528935977,0.17644363286102824
193,1000,4.490720395594888,0.1354766907853871
193,2000,4.4952602322486923,0.10232011700471581
193,4000,4.497055926363398,0.076450946260351205
193,8000,4.498327595448437,0.056889540829846305
197,50,4.4883166278120274,0.46780400777833298
197,250,4.4950194280665254,0.26058583030459304
197,500,4.4963872501444744,0.1978702609227839
197,1000,4.5002248894219568,0.14815771278765821
197,2000,4.4995536846220272,0.11034941636178482
197,4000,4.4999401003767705,0.082032488547893953
197,8000,4.500050386920794,0.060665310632480172
199,50,4.5831004253040071,0.57509184420634152
199,250,4.4974639819038309,0.30610284290738493
199,500,4.4986716142921468,0.2281224744183718
199,1000,4.5016615364764867,0.16821519481637837
199,2000,4.5013052034197836,0.12439896972129016
199,4000,4.5005761776220474,0.09140696776250723
199,8000,4.4998862889461231,0.066970769415714865
211,50,4.3859879764495115,0.68412085708239057
211,250,4.4540159490269637,0.33875165551538944
211,500,4.4730568119098395,0.24987402762520622
211,1000,4.4842584716100005,0.18358100193757002
211,2000,4.4905737204881078,0.13453244065291781
211,4000,4.4944026345170647,0.098584611333706468
211,8000,4.497090441792265,0.071961704658348224
223,50,4.444505402420913,0.58999772132322192
223,250,4.4812990126657448,0.30251874665164408
223,500,4.4899136122258252,0.22476096088936498
223,1000,4.4937867429767646,0.16574098986951885
223,2000,4.4987400824484212,0.12226962729991217
223,4000,4.4988543598045236,0.089806946269803109
223,8000,4.4994088844469466,0.065890763862504823
227,50,4.4815681959526632,0.3896278509734501
227,250,4.4950326591675518,0.23745370098438404
227,500,4.5002092637923319,0.18215574483535391
227,1000,4.498857401669424,0.13864150342847731
227,2000,4.5000289334033923,0.10390916662601944
227,4000,4.500048261773415,0.077391080659312592
227,8000,4.4998775552050159,0.05743121874851833
229,50,4.5121443190699937,0.48404622350939019
229,250,4.4954094225251415,0.25958039980539416
229,500,4.4996322591356392,0.19620844119133932
229,1000,4.5008166418310482,0.14669818465610074
229,2000,4.499686799144869,0.1090271090887979
229,4000,4.5000864116218056,0.080716004836085847
229,8000,4.500164775235568,0.059576786956379572
